entropies accuracy std
0.0 0.000000 0.000000
0.5 0.182370 0.139504
1.0 0.472251 0.192558
1.5 0.696372 0.278843
2.0 0.978543 0.023072
2.5 0.998356 0.002163
3.0 1.000000 0.000000
