entropies accuracy std
0.0 0.000028 0.000057
0.5 0.177069 0.115727
1.0 0.591355 0.275461
1.5 0.833447 0.203164
2.0 0.961111 0.031652
2.5 0.995295 0.008365
3.0 1.000000 0.000000
