entropies accuracy std
0.0 0.000368 0.000407
1.0 0.148923 0.050531
1.6 0.512273 0.065875
2.0 0.788124 0.135213
2.3 0.894898 0.064195
2.6 0.950312 0.011954
2.8 0.962443 0.026795
3.0 0.980132 0.009533
