entropies accuracy std
0.0 0.000255 0.000165
0.5 0.002324 0.003225
1.0 0.020210 0.019373
1.5 0.036395 0.008824
2.0 0.144586 0.081502
2.5 0.470805 0.125343
3.0 0.821712 0.130285
