entropies accuracy std
0.0 0.000368 0.000376
0.5 0.270607 0.178885
1.0 0.416355 0.200697
1.5 0.799433 0.256604
2.0 0.988407 0.006651
2.5 0.995550 0.004545
3.0 0.999972 0.000057
