entropies accuracy std
0.0 0.001049 0.000810
0.5 0.009751 0.018654
1.0 0.213039 0.185597
1.5 0.289087 0.223915
2.0 0.443197 0.243844
2.5 0.710147 0.157562
3.0 0.869473 0.086585
