entropies accuracy std
0.0 0.978930 0.022264
0.5 0.970664 0.033347
1.0 0.981361 0.015987
1.5 0.942139 0.078710
2.0 0.967423 0.012401
2.5 0.959319 0.036775
3.0 0.953160 0.029573
