entropies accuracy std
0.0 0.000368 0.000230
1.0 0.051389 0.063044
1.6 0.343821 0.194558
2.0 0.604620 0.262403
2.3 0.601049 0.158271
2.6 0.717545 0.204467
2.8 0.936593 0.047964
3.0 0.959068 0.021879
