entropies accuracy std
0.0 0.000964 0.000494
0.5 0.001956 0.000929
1.0 0.007341 0.011455
1.5 0.035884 0.031826
2.0 0.205414 0.182629
2.5 0.596882 0.188075
3.0 0.966837 0.022488
