entropies accuracy std
0.0 0.000340 0.000192
1.0 0.035998 0.029860
1.6 0.365561 0.145639
2.0 0.766808 0.089481
2.3 0.866780 0.102013
2.6 0.955130 0.026726
2.8 0.985998 0.012971
3.0 0.996172 0.003469
