entropies accuracy std
0.0 0.000000 0.000000
0.5 0.037557 0.016582
1.0 0.190930 0.117737
1.5 0.322392 0.063845
2.0 0.524178 0.234041
2.5 0.880159 0.033332
3.0 0.984921 0.020265
